Age (years),Distance (miles),Friends & Siblings nearby,Normal journey to school
9,0.8,0,car
8,0.9,0,car
6,1.5,12,car
6,2,1,car
11,3,0,car
15,7,0,car
10,2,0,car
14,7,0,car
10,2.7,0,car
10,3.5,2,car
7,3.5,1,car
6,2.5,0,car
11,2.6,1,car
8,5,4,car
9,1.2,0,car
6,5,4,car
9,2.3,0,car
8,2.6,1,car
8,1.5,4,car
5,2.8,1,car
6,1.5,0,car
7,3,1,car
5,1,0,car
6,3,1,car
9,1,0,car
6,1.1,0,car
5,1,4,car
5,10,0,car
14,5,1,car
14,7,0,car
15,5,1,car
9,1,0,car
9,1.1,0,walk
12,0.9,4,walk
6,0.5,5,walk
7,1,1,walk
8,0.9,0,walk
13,1,0,walk
9,1,0,walk
11,1.4,3,walk
11,1.5,2,walk
9,0.9,0,walk
9,1.1,0,walk
9,1,1,walk
8,1.3,0,walk
9,1,0,walk
10,0.9,1,walk
9,1.2,0,walk
9,1,3,walk
11,1,0,walk
12,0.8,3,walk
9,0.5,1,walk
10,1.1,2,walk
12,1,3,walk
15,1.5,0,walk
12,1.2,3,walk
9,1.3,0,walk
10,0.1,6,walk
11,1.1,4,walk
9,1.25,1,walk
13,0.5,5,walk
7,1.25,1,walk
9,0.1,0,walk
9,1.4,1,walk
13,0.3,5,walk
15,0.3,3,walk
12,0.8,4,walk
5,0.8,4,walk
9,1.1,1,walk
9,1.5,4,walk
9,0.7,6,walk
8,0.6,4,walk
6,0.5,8,walk
16,1,10,walk
9,1,2,walk
12,0.2,8,cycle
10,2,1,cycle
11,0.8,1,cycle
10,1.1,0,cycle
13,1,1,cycle
9,1.1,0,cycle
